id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
421,423.00,3to1_0,5.10,0.00,2.00,533.00,1to2_1,489.60,14.54,110.00,994.90,31.00,1,0.00,47.05,0,tripinfo_421 routing_421,DEFAULT_VEHTYPE,1.05,
411,413.00,2to1_0,5.10,0.00,2.00,534.00,1to3_0,489.60,13.42,121.00,994.90,41.00,1,0.00,52.74,0,tripinfo_411 routing_411,DEFAULT_VEHTYPE,0.98,
430,430.00,2to1_0,5.10,0.00,0.00,534.00,1to3_1,489.60,15.91,104.00,994.90,23.00,1,0.00,53.65,0,tripinfo_430 routing_430,DEFAULT_VEHTYPE,1.32,
420,420.00,3to1_0,5.10,0.00,0.00,535.00,1to2_0,489.60,13.08,115.00,994.90,32.00,1,0.00,44.38,0,tripinfo_420 routing_420,DEFAULT_VEHTYPE,0.94,
432,432.00,3to1_0,5.10,0.00,0.00,536.00,1to5_0,489.60,15.60,104.00,983.13,28.00,1,0.00,40.26,0,tripinfo_432 routing_432,DEFAULT_VEHTYPE,1.05,
433,433.00,2to1_0,5.10,0.00,0.00,536.00,1to3_0,489.60,15.01,103.00,994.90,25.00,1,0.00,39.22,0,tripinfo_433 routing_433,DEFAULT_VEHTYPE,1.05,
437,437.00,3to1_0,5.10,0.00,0.00,538.00,1to5_0,489.60,14.90,101.00,983.13,23.00,1,0.00,37.35,0,tripinfo_437 routing_437,DEFAULT_VEHTYPE,1.04,
435,436.00,2to1_0,5.10,0.00,1.00,539.00,1to4_1,489.60,15.19,103.00,983.13,24.00,1,0.00,39.54,0,tripinfo_435 routing_435,DEFAULT_VEHTYPE,1.06,
446,446.00,3to1_0,5.10,0.00,0.00,541.00,1to2_0,489.60,14.17,95.00,994.90,15.00,1,0.00,29.53,0,tripinfo_446 routing_446,DEFAULT_VEHTYPE,1.02,
413,416.00,2to1_0,5.10,0.00,3.00,544.00,1to4_0,489.60,11.70,128.00,983.13,32.00,1,0.00,44.86,0,tripinfo_413 routing_413,DEFAULT_VEHTYPE,0.80,
439,439.00,2to1_0,5.10,0.00,0.00,546.00,1to3_0,489.60,13.45,107.00,994.90,22.00,1,0.00,35.35,0,tripinfo_439 routing_439,DEFAULT_VEHTYPE,0.93,
464,464.00,2to1_0,5.10,0.00,0.00,546.00,1to4_1,489.60,14.67,82.00,983.13,7.00,1,0.00,26.52,0,tripinfo_464 routing_464,DEFAULT_VEHTYPE,1.21,
444,445.00,2to1_0,5.10,0.00,1.00,547.00,1to3_1,489.60,13.93,102.00,994.90,17.00,1,0.00,31.78,0,tripinfo_444 routing_444,DEFAULT_VEHTYPE,0.96,
456,458.00,2to1_0,5.10,0.00,2.00,548.00,1to3_1,489.60,15.34,90.00,994.90,10.00,1,0.00,28.08,0,tripinfo_456 routing_456,DEFAULT_VEHTYPE,1.08,
451,451.00,3to1_0,5.10,0.00,0.00,549.00,1to5_0,489.60,12.42,98.00,983.13,8.00,1,0.00,23.21,0,tripinfo_451 routing_451,DEFAULT_VEHTYPE,0.89,
452,454.00,3to1_0,5.10,0.00,2.00,549.00,1to5_1,489.60,14.55,95.00,983.13,7.00,1,0.00,26.02,0,tripinfo_452 routing_452,DEFAULT_VEHTYPE,0.98,
448,448.00,2to1_0,5.10,0.00,0.00,552.00,1to3_0,489.60,12.61,104.00,994.90,12.00,1,0.00,27.85,0,tripinfo_448 routing_448,DEFAULT_VEHTYPE,0.88,
463,469.00,3to1_0,5.10,0.00,6.00,553.00,1to5_1,489.60,16.14,84.00,983.13,0.00,0,0.00,25.75,0,tripinfo_463 routing_463,DEFAULT_VEHTYPE,1.16,
467,467.00,2to1_0,5.10,0.00,0.00,554.00,1to4_0,489.60,14.71,87.00,983.13,2.00,1,0.00,19.95,0,tripinfo_467 routing_467,DEFAULT_VEHTYPE,1.00,
454,457.00,3to1_0,5.10,0.00,3.00,555.00,1to2_0,489.60,12.04,98.00,994.90,3.00,1,0.00,20.71,0,tripinfo_454 routing_454,DEFAULT_VEHTYPE,0.86,
212,217.00,3to1_0,5.10,0.00,5.00,556.00,1to4_1,489.60,9.84,339.00,993.46,198.00,7,0.00,271.87,0,tripinfo_212 routing_212,DEFAULT_VEHTYPE,1.00,
460,463.00,3to1_0,5.10,0.00,3.00,557.00,1to2_1,489.60,15.81,94.00,994.90,0.00,0,0.00,34.49,0,tripinfo_460 routing_460,DEFAULT_VEHTYPE,1.12,
461,466.00,3to1_0,5.10,0.00,5.00,558.00,1to5_0,489.60,13.22,92.00,983.13,0.00,0,0.00,18.86,0,tripinfo_461 routing_461,DEFAULT_VEHTYPE,0.92,
223,226.00,3to1_0,5.10,0.00,3.00,559.00,1to4_1,489.60,15.45,333.00,993.46,187.00,7,0.00,269.06,0,tripinfo_223 routing_223,DEFAULT_VEHTYPE,1.06,
465,472.00,3to1_0,5.10,0.00,7.00,559.00,1to2_1,489.60,15.62,87.00,994.90,0.00,0,0.00,23.47,0,tripinfo_465 routing_465,DEFAULT_VEHTYPE,1.06,
483,483.00,2to1_0,5.10,0.00,0.00,559.00,1to4_0,489.60,14.39,76.00,983.13,0.00,0,0.00,8.38,0,tripinfo_483 routing_483,DEFAULT_VEHTYPE,0.99,
458,460.00,3to1_0,5.10,0.00,2.00,560.00,1to2_0,489.60,10.88,100.00,994.90,0.00,0,0.00,16.42,0,tripinfo_458 routing_458,DEFAULT_VEHTYPE,0.80,
224,229.00,3to1_0,5.10,0.00,5.00,563.00,1to3_1,489.60,14.03,334.00,978.78,182.00,7,0.00,268.19,0,tripinfo_224 routing_224,DEFAULT_VEHTYPE,1.02,
482,493.00,3to1_0,5.10,0.00,11.00,564.00,1to5_0,489.60,16.12,71.00,983.13,0.00,0,0.00,9.71,0,tripinfo_482 routing_482,DEFAULT_VEHTYPE,1.08,
214,220.00,3to1_0,5.10,0.00,6.00,565.00,1to3_0,489.60,12.25,345.00,978.78,191.00,7,0.00,264.70,0,tripinfo_214 routing_214,DEFAULT_VEHTYPE,0.83,
360,364.00,2to1_0,5.10,0.00,4.00,567.00,1to2_1,489.60,16.69,203.00,978.78,98.00,4,0.00,146.90,0,tripinfo_360 routing_360,DEFAULT_VEHTYPE,1.19,
469,475.00,3to1_0,5.10,0.00,6.00,567.00,1to2_0,489.60,12.38,92.00,994.90,0.00,0,0.00,15.98,0,tripinfo_469 routing_469,DEFAULT_VEHTYPE,0.87,
235,239.00,3to1_0,5.10,0.00,4.00,569.00,1to3_0,489.60,13.53,330.00,978.78,172.00,6,0.00,260.71,0,tripinfo_235 routing_235,DEFAULT_VEHTYPE,0.96,
344,346.00,2to1_0,5.10,0.00,2.00,570.00,1to5_0,489.60,13.56,224.00,993.46,111.00,4,0.00,154.79,0,tripinfo_344 routing_344,DEFAULT_VEHTYPE,0.98,
484,496.00,3to1_0,5.10,0.00,12.00,571.00,1to2_0,489.60,13.87,75.00,994.90,0.00,0,0.00,7.31,0,tripinfo_484 routing_484,DEFAULT_VEHTYPE,0.98,
237,242.00,3to1_0,5.10,0.00,5.00,576.00,1to3_0,489.60,12.88,334.00,978.78,169.00,7,0.00,258.60,0,tripinfo_237 routing_237,DEFAULT_VEHTYPE,0.88,
369,371.00,5to1_0,5.10,0.00,2.00,578.00,1to5_0,489.60,14.97,207.00,978.78,107.00,4,0.00,140.97,0,tripinfo_369 routing_369,DEFAULT_VEHTYPE,1.02,
