time,id,programID,phase,state
47.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
48.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
49.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
50.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
51.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
52.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
53.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
54.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
55.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
56.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
57.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
58.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
59.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
60.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
61.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
62.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
63.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
64.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
65.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
66.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
67.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
68.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
69.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
70.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
71.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
72.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
73.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
74.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
75.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
76.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
77.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
78.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
79.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
80.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
81.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
82.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
83.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
84.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
85.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
86.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
87.00,n1,0,3,rrrrryyyyyrrrrryyyyy
88.00,n1,0,3,rrrrryyyyyrrrrryyyyy
89.00,n1,0,3,rrrrryyyyyrrrrryyyyy
90.00,n1,0,0,GGGggrrrrrGGGggrrrrr
91.00,n1,0,0,GGGggrrrrrGGGggrrrrr
92.00,n1,0,0,GGGggrrrrrGGGggrrrrr
93.00,n1,0,0,GGGggrrrrrGGGggrrrrr
94.00,n1,0,0,GGGggrrrrrGGGggrrrrr
95.00,n1,0,0,GGGggrrrrrGGGggrrrrr
96.00,n1,0,0,GGGggrrrrrGGGggrrrrr
97.00,n1,0,0,GGGggrrrrrGGGggrrrrr
98.00,n1,0,0,GGGggrrrrrGGGggrrrrr
